Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
28:6	uma6	210581	Metaphor [26706]	turning themselves around	1	Luke is speaking as if the natives of Malta were literally **turning themselves around**. He means that they came to a different opinion about who Paul was. If it would be clearer in your language, you could use an expression from your own language or state the meaning plainly. Alternate translation: “changing their minds”
28:6	st8x	210582	Direct and Indirect Quotations [26719]	they said he was a god	1	It may be more natural in your language to have a direct quotation here. Alternate translation: “they said, ‘He is a god!’”
28:7	t2nc	210583	Background Information [26829]	Now	1	Luke is using the word **Now** to introduce background information about **Publius** that will help readers understand what happens next in the story. In your translation, introduce this information in a way that would be natural in your own language and culture.
28:7	u5og	210584	Nominal Adjectives [26708]	of the first	1	Luke is using the adjective **first** as a noun to mean a particular kind of person. In this context, **first** has the sense of most prominent. Since **Publius** is a Roman name, this man was probably the Roman governor of the island. Your language may use adjectives in the same way. If not, you could translate this word with an equivalent phrase. Alternate translation: “of the most prominent man” or “of the Roman governor”
28:7	nk59	210585	How to Translate Names [26805]	Publius	1	The word **Publius** is the name of a man.
28:8	tlgk	210586	Active or Passive [26672]	being afflicted with fevers and dysentery	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “whom fevers and dysentery were afflicting”
28:8	spl7	210587	Translate Unknowns [26822]	dysentery	1	The word **dysentery** describes an infectious intestinal disease. In your translation, you could use a term a similar disease, or you could use a general expression. Alternate translation: “intestinal disease”
28:9	zlu0	210588	Active or Passive [26672]	being healed	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “Paul was healing them”
28:10	wgi4	210589	Assumed Knowledge and Implicit Information [26687]	honored us with many honors	1	Luke assumes that his readers will understand that these **honors** probably included gifts. You can include this information if that would be helpful to your readers. Alternate translation: “gave us many gifts”
28:11	paak	210590	How to Translate Names [26805]		1	The word **Dioscouri** is the name of two false gods, Castor and Pollux, whom some sailors considered to be their patron gods. The name means “Sons of Zeus” in Greek. Alternate translation: “with Castor and Pollux as their figurehead”
28:11	ua9p	210591	Translate Unknowns [26822]		1	A **figurehead** was an image of a god, human being, animal, or object that was painted or sculpted on the prow (front) of a ship as a good luck token. If your readers would not be familiar with this, you could use a general expression in your translation. Alternate translation: “with images of Castor and Pollux sculpted on the prow”
